"TANGGAL","CUSTOMER_CODE","NAME_1","CUSTOMER_SINCE","RT_RW","RESIDENCE","TAX_ID","SECTOR","TOWN_COUNTRY","COUNTRY","CUSTOMER_RATING","SMS_1","PHONE_1","PROVINCE","DISTRICT_CODE","POST_CODE","FUND_SOURCE","MOTH_MAIDEN","PLACE_BIRTH","DATE_OF_BIRTH","GENDER","EMPLOYERS_BUSS","EMPLOYMENT_STATUS","OCCUPATION","MARITAL_STATUS","EDUCATION","RELIGION","LEGAL_ID_NO","LEGAL_TYPE","NATIONALITY","RESIDE_Y_N","GUARANTOR_CODE","SID_RELATI_BANK","LBU_CUST_TYPE","EMPLOYERS_NAME","EMPLOYERS_ADD","STREET","FUND_SOURCE_AMT","COMPANY_BOOK","SHORT_NAME","BUSINESS_TYPE","FIRST_REG_NO","FIRST_REG_DATE","LEGAL_ID","LEGAL_ISS_DATE","LEGAL_EXP_DATE","SID_ECO_SECTOR","ACCOUNT_OFFICER","ADDR_PHONE_AREA","TAXABLE","OFF_PHONE","CUST_TYPE","KOLEK","JOB_TITLE","EMAIL","RISK_LEVEL_ID"
"2025-05-19",11352069,CV Mandala Nugroho (Persero) Tbk,"2023-07-24","005/001",Jl. Kapten Muslihat No. 8,"406-27-9470","70",Sorong,Indonesia,B,"6204678630381",(091) 948 6707,Papua Barat,"3928","48435",Video editor,Paulin,Kota Administrasi Jakarta Pusat,"1977-12-04",F,Perum Haryanto (Persero) Tbk,Contract,Sports administrator,Single,S1,Hindu,"6728422499514846",KTP,ID,Y,"2829","6853","1",PT Gunarto (Persero) Tbk,"Gg. Jend. Sudirman No. 57
Balikpapan, GO 87258",Jalan Merdeka,53595.58,"406",(Persero) Tbk,"32",FU 275 XP,"2021-05-06",V 231 LFP,"2021-01-09","2050-03-26","3871","2377",+62 (0341) 663 8267,Y,(0597) 277 7198,P,"2",Haematologist,wdongoran@example.org,"3"
"2025-05-19",10906204,PD Sitompul Tbk,"2020-04-01","008/007",Jalan Pasirkoja No. 8,"448-81-9757","36",Bengkulu,Indonesia,B,"4629291773605",+62-0908-110-0077,Kalimantan Utara,"8504","90903",Commercial horticulturist,Zalindra,Tegal,"1987-03-09",M,PD Uyainah Ramadan,Freelance,Building services engineer,Divorced,S2,Buddha,"1689372490330770",KTP,ID,N,"7107","1627","1",PT Pranowo Najmudin (Persero) Tbk,"Jl. Moch. Ramdan No. 2
Parepare, BB 54544",Jalan Cempaka,61326.0,"742",Tbk,"82",JJ 717 ZO,"2022-08-26",N 679 MR,"2024-11-30","2035-04-03","2656","7257",+62 (06) 137 6982,Y,+62-761-825-9308,C,"3","Research officer, government",bpratiwi@example.net,"2"
"2025-05-19",11262822,CV Mardhiyah,"2016-09-06","007/001",Jl. Surapati No. 581,"375-56-7836","24",Bandung,Indonesia,C,"6225193356284",+62 (0372) 828-4012,Nusa Tenggara Timur,"5208","95576",Consulting civil engineer,Amelia,Kota Administrasi Jakarta Selatan,"1976-02-02",M,PT Pratiwi Hidayat,Contract,"Sound technician, broadcasting/film/video",Single,SMA,Hindu,"3730997883009284",KTP,ID,Y,"1800","7131","2",Perum Yulianti Lazuardi,"Gang Kapten Muslihat No. 67
Bandar Lampung, Kalimantan Selatan 72940",Gg. Sentot Alibasa,22305.72,"958",(Persero) Tbk,"56",PN 481 VRZ,"2022-07-30",W 799 TXM,"2020-11-05","2045-04-26","5502","4042",+62 (0519) 208-4965,N,+62-0851-940-5684,P,"5","Loss adjuster, chartered",zulfaramadan@example.org,"2"
"2025-05-19",10274631,PT Hariyah,"2021-07-25","003/005",Gang Jend. A. Yani No. 575,"049-17-2863","35",Singkawang,Indonesia,A,"1227254495503",+62-79-582-5467,Sulawesi Tengah,"7671","37149",Database administrator,Gilda,Palembang,"2004-10-06",M,Perum Nainggolan Pratiwi (Persero) Tbk,Contract,"Producer, radio",Divorced,SMA,Hindu,"5165299085351559",KTP,ID,N,"2591","4626","1",PT Wasita (Persero) Tbk,"Jalan Surapati No. 94
Sibolga, Banten 37229",Gg. Sukajadi,2789.22,"333",Tbk,"29",G 454 MC,"2022-02-18",V 919 WF,"2023-01-29","2039-05-22","2044","5715",+62 (058) 484 1492,N,+62 (83) 560 2293,C,"5",Marketing executive,hutapeatari@example.com,"2"
"2025-05-19",10978380,Perum Usada Tbk,"2018-08-07","009/007",Jl. Sentot Alibasa No. 4,"402-05-7776","61",Surabaya,Indonesia,C,"3517593172610","0845631479",Riau,"1205","54951",Civil Service administrator,Vivi,Padangpanjang,"1982-03-24",F,Perum Nasyiah,Contract,Transport planner,Married,S1,Kristen,"8695355017834947",KTP,ID,N,"4451","9720","1",UD Sitorus Mayasari Tbk,"Jalan W.R. Supratman No. 6
Solok, Riau 11988",Gang H.J Maemunah,67625.61,"262",Tbk,"52",GZ 7854 FCP,"2022-09-15",JP 6085 VOA,"2022-11-20","2045-03-01","1528","2287","083 485 6432",N,(0541) 156 5277,C,"1",Arts development officer,yuniarmalik@example.com,"1"
"2025-05-19",10044140,PD Wacana Oktaviani,"2024-12-24","009/006",Gg. Gegerkalong Hilir No. 92,"028-06-9147","39",Kota Administrasi Jakarta Pusat,Indonesia,B,"3164606649323",(0558) 388-3331,Kepulauan Bangka Belitung,"6166","69178",Television camera operator,Hilda,Manado,"1978-10-25",F,Perum Marbun (Persero) Tbk,Permanent,Actuary,Single,S2,Kristen,"4167167399843601",KTP,ID,N,"7805","1383","2",PD Fujiati Sinaga (Persero) Tbk,"Jalan BKR No. 0
Bukittinggi, JK 00326",Gang Dipatiukur,56087.51,"503",Tbk,"31",Q 644 WQ,"2025-04-25",M 765 EPW,"2020-01-11","2031-05-28","7148","9807",+62 (0250) 122-9153,Y,+62 (375) 927-1976,C,"5","Nurse, mental health",waluyogandewa@example.com,"1"
"2025-05-19",10035142,Perum Nainggolan Prabowo,"2024-05-27","002/007",Jl. Waringin No. 0,"119-57-7553","28",Lhokseumawe,Indonesia,A,"834864917507","0831233153",Kepulauan Riau,"2812","84808","Therapist, sports",Najwa,Cirebon,"1966-05-23",F,UD Hidayanto Uyainah (Persero) Tbk,Permanent,Environmental consultant,Single,S2,Buddha,"4679586744363309",KTP,ID,N,"4567","7851","2",UD Jailani Salahudin (Persero) Tbk,"Gang Ahmad Dahlan No. 9
Depok, SG 27860",Gg. Wonoayu,32620.95,"372",Tbk,"81",LL 012 LUV,"2020-07-25",I 952 VSW,"2022-09-26","2032-11-20","2730","6206",+62 (953) 019 6549,N,(0059) 445-9914,P,"4",Intelligence analyst,caketardianto@example.org,"2"
"2025-05-19",11088674,CV Mayasari,"2024-08-27","008/005",Gg. Ciumbuleuit No. 604,"135-09-2314","58",Ambon,Indonesia,A,"4687975210084","0865425568",Papua Barat,"3910","62435",Curator,Elvina,Solok,"1963-02-17",F,UD Suryono (Persero) Tbk,Permanent,Psychiatrist,Divorced,S1,Buddha,"2551675718114221",KTP,ID,Y,"7280","7850","2",PT Situmorang,"Jl. Wonoayu No. 690
Balikpapan, PB 87235",Gg. Ciwastra,41619.09,"652",Tbk,"4",U 7700 EBJ,"2022-08-09",WA 273 VOM,"2021-06-12","2038-09-11","4673","3270",+62 (382) 743 8326,Y,+62 (25) 063-4837,C,"1",Fashion designer,jaimanadriansyah@example.org,"2"
"2025-05-19",10460310,PD Rajasa Tbk,"2023-08-04","004/003",Jl. Ahmad Dahlan No. 954,"088-70-5167","73",Banjarmasin,Indonesia,C,"9710104433050","0809934096",Bali,"8731","99700",Automotive engineer,Titi,Padang,"1993-08-30",M,Perum Wijaya Tbk,Contract,Land,Single,S2,Buddha,"5605701960999312",KTP,ID,Y,"3644","8500","2",CV Marpaung Tbk,"Gang M.T Haryono No. 75
Tanjungbalai, Sulawesi Selatan 42927",Gang Asia Afrika,72582.95,"246",(Persero) Tbk,"23",EZ 674 LEW,"2025-03-09",E 2166 FY,"2020-06-29","2047-03-29","8736","4273",+62 (238) 149-8714,N,+62 (03) 577-7931,P,"3","Editor, film/video",baktianto49@example.org,"1"
"2025-05-19",11154371,CV Waluyo Maulana (Persero) Tbk,"2016-07-14","001/004",Gang Laswi No. 734,"495-60-7074","74",Banjarmasin,Indonesia,B,"5858276546991",+62 (897) 303-7858,Gorontalo,"8523","42118","Geologist, wellsite",Salsabila,Subulussalam,"1968-01-05",F,PD Nasyidah Hastuti,Permanent,Outdoor activities/education manager,Single,S1,Islam,"6440412755848678",KTP,ID,N,"3609","5011","2",Perum Damanik,"Gg. Suniaraja No. 155
Bengkulu, BT 49818",Gang Dr. Djunjunan,72482.58,"72",(Persero) Tbk,"1",R 1718 QTA,"2023-09-23",SO 268 AC,"2021-10-26","2048-03-19","1529","7657",+62 (056) 242-0605,N,+62 (016) 976 9054,C,"1",Fine artist,gadang68@example.org,"2"
"2025-05-19",11328326,Perum Salahudin,"2022-12-28","005/009",Jl. Otto Iskandardinata No. 271,"033-90-7764","16",Blitar,Indonesia,C,"7592123034899",+62-056-431-7210,Kepulauan Riau,"9751","13109",Nutritional therapist,Fathonah,Batu,"1995-02-08",F,PD Budiyanto Yulianti (Persero) Tbk,Contract,Systems developer,Divorced,SMA,Hindu,"4588440071936850",KTP,ID,Y,"6953","7544","2",Perum Pranowo Tampubolon (Persero) Tbk,"Gang Wonoayu No. 181
Bengkulu, JT 47099",Jalan Pasir Koja,43430.27,"128",(Persero) Tbk,"14",LU 407 ZAK,"2023-07-03",Y 8629 PD,"2022-04-18","2032-11-27","3391","5300",(081) 314-5394,Y,"0807207845",P,"3","Scientist, marine",maryanto84@example.org,"2"
"2025-05-19",10235777,CV Marpaung Handayani,"2023-08-09","006/003",Jl. Dipenogoro No. 0,"434-97-7108","32",Blitar,Indonesia,B,"2793444519067",(0421) 083-0634,Lampung,"4442","44669","Engineer, communications",Zahra,Bima,"1960-09-11",M,CV Sitompul Tbk,Contract,Logistics and distribution manager,Divorced,S2,Islam,"9099232251599199",KTP,ID,N,"5009","5259","2",CV Pradana Tbk,"Gg. Ahmad Yani No. 24
Pematangsiantar, Sumatera Selatan 22535",Jl. K.H. Wahid Hasyim,30233.91,"456",Tbk,"43",IU 0338 MUS,"2022-03-02",DH 8775 PAK,"2021-03-12","2031-11-30","8378","5225",+62 (12) 004-0234,N,+62 (03) 387 3845,P,"2","Engineer, materials",atmaja02@example.org,"1"
"2025-05-19",10981209,PD Permadi (Persero) Tbk,"2022-03-26","009/005",Gang KH Amin Jasuta No. 658,"385-94-4984","4",Sibolga,Indonesia,A,"8513445532967",(0375) 942-8318,Sumatera Utara,"7076","83864","Nurse, mental health",Cici,Padangpanjang,"1986-08-08",F,CV Salahudin Nashiruddin,Freelance,Science writer,Married,S1,Kristen,"6709615997180338",KTP,ID,N,"8787","8206","2",Perum Hutapea,"Jalan Sukabumi No. 2
Sibolga, Sulawesi Tenggara 05491",Gg. BKR,16289.69,"825",Tbk,"89",U 5126 IPM,"2024-02-08",T 5351 AO,"2021-09-14","2043-11-07","3106","3400",+62-0456-293-3495,N,(051) 582-2309,C,"3",Hydrographic surveyor,cwacana@example.com,"3"
"2025-05-19",10339219,PD Wasita Utama Tbk,"2016-10-20","004/001",Jalan Moch. Ramdan No. 41,"320-49-7959","28",Sawahlunto,Indonesia,C,"8925291493735",+62 (90) 831-1686,Sulawesi Tengah,"5963","29446","Geneticist, molecular",Yunita,Palopo,"1995-01-18",M,Perum Hartati Pangestu (Persero) Tbk,Contract,"Accountant, chartered certified",Married,S2,Buddha,"6570591811370343",KTP,ID,Y,"6639","3553","2",PT Nasyidah Irawan (Persero) Tbk,"Jalan Kapten Muslihat No. 2
Tomohon, SB 87015",Gg. Pasteur,52810.4,"388",(Persero) Tbk,"63",Y 1999 ICS,"2022-07-18",V 7426 ZDD,"2020-09-05","2036-12-23","3770","9605",+62 (27) 404 5122,N,"085 893 7081",P,"4",Artist,muhammadhartati@example.net,"2"
"2025-05-19",10243351,CV Irawan (Persero) Tbk,"2016-01-04","001/002",Jalan Pasir Koja No. 01,"883-20-8882","44",Kota Administrasi Jakarta Selatan,Indonesia,A,"2631508108667",+62-042-957-9035,Kepulauan Riau,"6067","37057",Armed forces training and education officer,Yance,Kota Administrasi Jakarta Timur,"1969-07-26",M,CV Tarihoran Purnawati,Permanent,"Restaurant manager, fast food",Married,S2,Islam,"2773897299406451",KTP,ID,N,"9172","8525","1",Perum Mardhiyah Tbk,"Gang M.T Haryono No. 4
Cirebon, JK 34960",Jalan Yos Sudarso,84157.74,"867",(Persero) Tbk,"68",EO 5264 EH,"2021-10-13",CD 8705 HQ,"2023-12-29","2029-11-14","4741","4318",(029) 847-5487,N,+62-009-646-1469,P,"4",Travel agency manager,dian38@example.net,"3"
"2025-05-19",10979443,PD Gunawan (Persero) Tbk,"2022-10-09","002/006",Gang Erlangga No. 89,"341-30-2247","65",Solok,Indonesia,A,"5393036199932",(003) 861 5742,Kalimantan Selatan,"5447","82520","Nurse, learning disability",Patricia,Palopo,"1995-01-26",M,CV Hartati,Permanent,Cartographer,Married,S2,Kristen,"3306492978177720",KTP,ID,Y,"5015","4741","2",PT Pudjiastuti Astuti Tbk,"Gang Gardujati No. 2
Kota Administrasi Jakarta Pusat, Sulawesi Barat 45656",Jalan Sukajadi,18565.64,"624",(Persero) Tbk,"35",GW 1392 RV,"2021-03-12",GB 210 JY,"2021-12-18","2043-02-14","5546","2496","0820487937",Y,+62-012-335-7937,P,"2",Public affairs consultant,michelle01@example.org,"3"
"2025-05-19",10581057,Perum Zulaika Safitri,"2017-08-02","005/001",Jl. Moch. Ramdan No. 704,"329-61-4377","27",Surabaya,Indonesia,A,"749113928236",(049) 382-6831,Kalimantan Utara,"4996","86765",Sports therapist,Amalia,Tasikmalaya,"2006-01-02",F,CV Purwanti Napitupulu,Contract,Farm manager,Single,S2,Islam,"8115830171054908",KTP,ID,Y,"4218","8836","1",PD Napitupulu Waskita (Persero) Tbk,"Gang Tebet Barat Dalam No. 19
Mataram, SR 58181",Jl. Suniaraja,44747.91,"488",Tbk,"26",ZZ 231 SF,"2025-04-11",XQ 8932 SWK,"2020-05-10","2028-07-25","2636","9886",+62-089-810-7232,Y,+62 (74) 783 0194,C,"3","Geologist, engineering",ardiantocici@example.net,"3"
"2025-05-19",10862862,UD Santoso Ramadan,"2017-12-15","001/007",Gg. PHH. Mustofa No. 494,"095-64-8212","15",Purwokerto,Indonesia,C,"7702392831091",+62 (719) 104-3979,Kalimantan Barat,"8252","94230",Film/video editor,Ira,Bandar Lampung,"2004-12-08",M,UD Megantara Tampubolon,Freelance,Armed forces training and education officer,Divorced,S2,Buddha,"1004462437681678",KTP,ID,N,"7671","5435","2",Perum Wibisono (Persero) Tbk,"Jalan W.R. Supratman No. 4
Batam, Sulawesi Tenggara 68961",Gang KH Amin Jasuta,63481.69,"337",Tbk,"65",SN 042 EX,"2024-12-27",LZ 1014 WRU,"2020-07-15","2027-12-23","8918","9424",+62-82-592-3065,N,+62 (017) 682-5152,C,"3",Risk analyst,gunartolukman@example.net,"3"
"2025-05-19",10680499,PT Utama Saefullah Tbk,"2024-12-20","004/006",Jalan S. Parman No. 95,"674-12-7778","36",Kota Administrasi Jakarta Selatan,Indonesia,C,"473087887526",+62-0228-441-3335,Bengkulu,"9242","50475",Economist,Sabrina,Banjarmasin,"1974-01-23",F,PD Budiman Dabukke (Persero) Tbk,Permanent,Field trials officer,Single,S1,Islam,"9046734269191661",KTP,ID,N,"9122","3672","1",UD Namaga Mandala,"Gg. Jend. Sudirman No. 41
Parepare, Bengkulu 28604",Gg. Dipenogoro,7490.39,"443",Tbk,"87",KI 491 HZW,"2024-04-11",JL 746 VK,"2025-04-29","2036-06-02","5991","2549",+62-0330-403-0581,N,"081 585 3506",C,"5",Comptroller,najamnasyiah@example.net,"1"
"2025-05-19",10496491,Perum Riyanti,"2020-01-27","004/002",Jalan Cempaka No. 331,"181-79-3354","98",Ternate,Indonesia,A,"5685022080538",+62 (0792) 795-1324,Riau,"4493","50265","Journalist, magazine",Citra,Tangerang Selatan,"1984-07-15",F,UD Fujiati,Contract,Clothing/textile technologist,Divorced,S1,Islam,"3702714191186175",KTP,ID,Y,"3532","6304","1",PT Latupono Saptono,"Gg. Asia Afrika No. 771
Sorong, Bengkulu 08317",Gg. Rungkut Industri,19998.5,"406",Tbk,"22",FD 397 LLH,"2022-09-22",DP 612 KER,"2021-05-07","2035-01-25","3587","3574",+62-00-259-3758,N,+62 (083) 500 2287,C,"5","Geologist, engineering",winarsihfebi@example.net,"2"
"2025-05-19",10450686,UD Yuliarti Laksita Tbk,"2017-09-12","005/004",Jalan Medokan Ayu No. 0,"725-21-7108","34",Denpasar,Indonesia,B,"4928841634477",+62 (79) 693-9205,Papua,"5974","58600",Catering manager,Zahra,Ternate,"2003-08-11",M,PT Ramadan Thamrin (Persero) Tbk,Contract,Exercise physiologist,Married,S2,Hindu,"7712290120859753",KTP,ID,N,"8368","6046","2",UD Prasetya,"Gg. Ahmad Yani No. 8
Tanjungbalai, PB 44337",Jl. Pasirkoja,56765.35,"781",(Persero) Tbk,"54",TA 081 HA,"2020-01-24",TC 407 CDU,"2022-12-05","2039-02-04","1092","7620",(0862) 163 4844,Y,+62-0053-447-5508,C,"3",Data scientist,irmamaulana@example.net,"3"
"2025-05-19",11469774,PD Hutapea,"2019-05-05","003/008",Gg. Monginsidi No. 0,"503-29-2352","99",Bitung,Indonesia,B,"6355428468638",(0203) 238 3227,Bengkulu,"1319","36504",Insurance underwriter,Rahmi,Kendari,"1968-12-11",M,UD Dabukke Manullang Tbk,Freelance,Manufacturing engineer,Divorced,S1,Hindu,"4363967990897728",KTP,ID,Y,"6273","8004","2",Perum Sinaga (Persero) Tbk,"Jl. Moch. Toha No. 3
Bandar Lampung, SS 85480",Jalan Pasir Koja,33242.83,"574",(Persero) Tbk,"95",PH 490 PU,"2024-12-26",V 1813 IP,"2021-03-24","2036-06-15","4267","4522",+62-062-146-1335,N,+62 (0733) 702 5556,C,"1","Engineer, aeronautical",rika81@example.com,"1"
"2025-05-19",10484636,UD Hariyah,"2023-02-09","004/003",Gg. Pasir Koja No. 2,"148-97-3089","42",Padangpanjang,Indonesia,C,"2851419082745",(0456) 599 2507,Sulawesi Selatan,"8859","87717",Energy manager,Ghaliyati,Tanjungbalai,"1975-01-25",F,UD Pangestu Wahyudin (Persero) Tbk,Permanent,Research scientist (life sciences),Divorced,S1,Buddha,"3523298654448249",KTP,ID,N,"1971","2661","1",CV Januar,"Jl. Yos Sudarso No. 095
Banda Aceh, BB 86323",Jl. Jend. Sudirman,64323.24,"283",Tbk,"69",W 7449 KPJ,"2021-09-13",MP 2160 HK,"2024-06-04","2034-10-15","7053","8178",+62 (0028) 974-0939,N,+62-496-479-3539,P,"4",Legal secretary,zmarpaung@example.org,"1"
"2025-05-19",11395446,UD Maryadi Tbk,"2017-08-25","002/006",Jalan Ahmad Dahlan No. 9,"848-83-2589","94",Ternate,Indonesia,B,"136191667322",+62 (077) 594-1447,Sulawesi Utara,"3486","29715","Editor, magazine features",Aisyah,Makassar,"1974-09-23",F,PD Wibisono Rahmawati,Freelance,"Programmer, multimedia",Single,S2,Islam,"3208804778402509",KTP,ID,N,"9955","5271","2",PD Mandala,"Gg. Pacuan Kuda No. 6
Tomohon, RI 00798",Jl. Lembong,69267.44,"144",(Persero) Tbk,"99",QP 5639 YGV,"2021-07-29",D 162 QOR,"2023-04-05","2048-03-31","2114","6143","087 735 1059",N,(0344) 685 0094,C,"2","Production assistant, radio",vino92@example.net,"1"
"2025-05-19",10316995,PD Yulianti Januar,"2021-12-23","006/008",Jl. R.E Martadinata No. 92,"584-51-8843","30",Kediri,Indonesia,B,"7763966352736",+62-07-550-4084,Jambi,"6934","53648","Engineer, building services",Oni,Pekalongan,"1998-06-02",M,PT Haryanto,Freelance,Psychiatric nurse,Divorced,S1,Hindu,"7734236434735861",KTP,ID,Y,"3298","2952","2",CV Palastri (Persero) Tbk,"Gg. Ronggowarsito No. 9
Bitung, Sumatera Utara 56166",Jalan Jend. A. Yani,43305.76,"826",(Persero) Tbk,"63",RA 244 EF,"2023-04-20",CW 1758 NK,"2023-09-06","2039-12-03","1786","9657",(026) 570-4388,Y,+62-392-384-0991,C,"1","Embryologist, clinical",erahimah@example.com,"3"
"2025-05-19",10648154,UD Permata Puspita Tbk,"2022-12-30","007/001",Jalan Cempaka No. 598,"269-08-7488","65",Tebingtinggi,Indonesia,B,"4720926465296",(0947) 189 1668,Banten,"9827","74488",Recruitment consultant,Gina,Tebingtinggi,"1962-07-05",F,PT Hassanah,Freelance,"Teacher, adult education",Married,S2,Islam,"1680519247583911",KTP,ID,Y,"2840","9712","1",PD Wacana Winarno (Persero) Tbk,"Jl. Astana Anyar No. 3
Lhokseumawe, Jawa Barat 82235",Jalan Ir. H. Djuanda,80060.51,"867",(Persero) Tbk,"12",D 5621 FI,"2021-04-04",F 094 LI,"2020-11-25","2029-02-02","8675","4127",+62-965-452-5517,Y,(056) 983 6495,C,"3",Agricultural engineer,rahmanmaulana@example.net,"2"
"2025-05-19",11319779,UD Wastuti Lestari (Persero) Tbk,"2016-05-22","008/003",Gg. Kiaracondong No. 614,"243-23-8360","84",Pontianak,Indonesia,B,"7099069981892",+62-0710-449-0711,Kalimantan Timur,"2196","33812","Pharmacist, hospital",Hafshah,Probolinggo,"2001-03-09",F,PD Nasyidah,Contract,"Secretary, company",Divorced,S2,Buddha,"1193509276484929",KTP,ID,N,"5813","1104","2",Perum Sihotang Nasyiah (Persero) Tbk,"Gg. Ronggowarsito No. 0
Depok, Sumatera Barat 18953",Jalan Joyoboyo,2868.29,"231",Tbk,"42",H 773 SX,"2021-12-21",A 432 IC,"2023-07-22","2049-09-17","7998","3465",+62 (0410) 423-2008,N,(058) 623 3487,P,"5","Scientist, research (physical sciences)",susantijagapati@example.com,"3"
"2025-05-19",11435458,PT Haryanto Suryono,"2022-10-30","006/009",Gang Raya Setiabudhi No. 32,"719-41-1386","59",Bima,Indonesia,C,"6173124321979",+62 (47) 617 4035,Kalimantan Tengah,"4282","85292",Applications developer,Azalea,Meulaboh,"1994-10-24",F,PT Hassanah (Persero) Tbk,Freelance,Recruitment consultant,Divorced,SMA,Kristen,"2335622184914380",KTP,ID,Y,"6054","3975","1",UD Hakim Wijaya,"Jalan Moch. Ramdan No. 630
Lubuklinggau, BE 29830",Jl. Ciumbuleuit,3596.22,"617",(Persero) Tbk,"6",OA 038 IVK,"2023-06-26",P 430 FT,"2023-06-28","2031-02-15","3086","9848","087 345 1295",N,+62 (097) 285-5867,P,"3",Financial controller,wibowobahuwirya@example.net,"2"
"2025-05-19",11289147,PD Mulyani Anggraini,"2018-09-19","004/004",Gang Siliwangi No. 6,"764-13-2184","26",Padang Sidempuan,Indonesia,B,"5211095316156",(078) 597 1341,Jambi,"3675","65611","Conservator, furniture",Rachel,Sorong,"1995-11-18",F,PT Saputra,Permanent,Dispensing optician,Single,S1,Islam,"8905055401763792",KTP,ID,N,"3017","7145","1",Perum Usamah Winarsih,"Gang Wonoayu No. 55
Manado, BT 54885",Gg. Joyoboyo,44951.29,"762",(Persero) Tbk,"95",H 8788 SZ,"2024-08-04",T 4406 UR,"2020-04-30","2031-05-08","4417","7232",(090) 959 4052,Y,+62 (098) 990-2077,C,"4",Research scientist (physical sciences),baktiononasyidah@example.net,"2"
"2025-05-19",10766107,UD Pradana,"2015-09-20","004/004",Jl. Kiaracondong No. 77,"063-45-2312","99",Sawahlunto,Indonesia,B,"5384127913253",+62-0258-884-0416,Kalimantan Barat,"3042","22170","Radiographer, diagnostic",Ika,Bogor,"1965-12-28",M,PT Irawan Simbolon,Freelance,Illustrator,Divorced,S2,Islam,"7814902617551660",KTP,ID,Y,"2971","9013","2",UD Yuliarti Tbk,"Gang Ciumbuleuit No. 168
Ambon, Sumatera Barat 37797",Jl. Wonoayu,75218.58,"325",Tbk,"54",W 607 JUZ,"2021-08-14",FB 2404 JBH,"2022-07-31","2027-01-28","4129","4446",+62 (021) 785-6343,Y,(014) 550 1290,C,"4",Food technologist,caturmanullang@example.net,"2"
"2025-05-19",11280174,Perum Anggraini Aryani Tbk,"2022-11-03","009/002",Gang Surapati No. 8,"791-86-3298","59",Kendari,Indonesia,A,"2094816853199",+62-87-014-6187,Bengkulu,"1118","59811","Development worker, community",Nabila,Solok,"1968-03-08",F,PD Hariyah (Persero) Tbk,Contract,Chartered public finance accountant,Single,S1,Hindu,"3792067811736191",KTP,ID,Y,"8113","5926","1",PD Setiawan (Persero) Tbk,"Jl. Ir. H. Djuanda No. 39
Samarinda, SN 77323",Jalan Pasir Koja,99970.95,"87",(Persero) Tbk,"84",UC 240 HH,"2023-05-07",Q 460 MVT,"2023-01-15","2039-11-10","7384","8722",+62 (74) 505 6958,Y,+62 (61) 691-3438,C,"3",Building services engineer,mustikapurwanti@example.org,"1"
"2025-05-19",10388836,UD Wijaya Narpati,"2016-10-18","003/004",Gang Bangka Raya No. 440,"305-19-4364","23",Kotamobagu,Indonesia,C,"6562616046430",+62-72-476-6053,DI Yogyakarta,"1151","26770",Engineering geologist,Raisa,Tomohon,"1995-05-16",M,PD Suryono Kuswandari,Permanent,Mudlogger,Divorced,S1,Islam,"6370131016947349",KTP,ID,Y,"5801","7089","2",Perum Prasetyo Lailasari Tbk,"Jalan Pasir Koja No. 784
Cirebon, SB 12826",Jl. Pelajar Pejuang,82501.82,"430",Tbk,"23",TS 8194 TJV,"2020-04-25",WR 7561 DF,"2020-02-03","2036-05-23","3861","9496",+62-086-732-5868,Y,+62 (0810) 624 7165,P,"3","Nurse, children's",rininasyiah@example.net,"1"
"2025-05-19",10344566,UD Hidayat Najmudin (Persero) Tbk,"2021-02-05","003/001",Gg. Gegerkalong Hilir No. 0,"747-62-8212","64",Tomohon,Indonesia,A,"7701696202336",+62 (70) 653 8137,Nusa Tenggara Barat,"6014","62907",Naval architect,Shakila,Dumai,"1981-09-06",F,CV Utama (Persero) Tbk,Contract,"Designer, textile",Divorced,S1,Islam,"1232657447571336",KTP,ID,N,"1466","8708","1",UD Tarihoran,"Gang HOS. Cokroaminoto No. 05
Banjarmasin, KR 10666",Gg. Stasiun Wonokromo,73760.13,"148",(Persero) Tbk,"53",S 3981 FUI,"2022-11-12",FE 211 LPB,"2023-07-03","2044-11-06","1761","9838",(060) 289 2814,N,"089 656 9178",P,"2",Clinical psychologist,kariman83@example.com,"1"
"2025-05-19",11399602,PT Sihotang,"2019-06-26","001/006",Gg. Sukajadi No. 4,"292-76-3224","29",Pangkalpinang,Indonesia,A,"3034267845661",+62 (055) 681-6096,Maluku,"7879","18693",Barista,Kartika,Pekanbaru,"1992-12-14",M,PD Dabukke Hutagalung Tbk,Contract,Sport and exercise psychologist,Married,S1,Buddha,"8718408995497055",KTP,ID,Y,"6102","8802","2",Perum Wibowo Kuswoyo,"Jl. Cihampelas No. 80
Palu, SB 73019",Gang Suniaraja,90055.35,"264",Tbk,"17",DP 658 JL,"2024-12-13",G 6844 ZR,"2021-12-04","2049-10-22","6290","9847","0806841457",N,+62 (573) 815-6799,P,"4","Psychotherapist, child",fitrianihutapea@example.com,"2"
